time,longitude,latitude,oxygen_temperature_frozen_test,pco2_water_temperature_global_range_test,pco2_temperature,pco2_temperature,pco2_air_temperature,air_temperature,inlet_temperature_frozen_test,pco2_temperature_global_range_test,pco2_water_temperature,rtqc_temperature_difference_test,pco2_water_temperature_frozen_test,pco2_temperature_frozen_test,ctd_temperature_frozen_test,pco2_air_temperature,pco2_water_temperature_frozen_test,pco2_water_temperature,pco2_temperature_frozen_test,pco2_air_temperature_global_range_test,pco2_air_temperature_global_range_test,oxygen_temperature,inlet_temperature,inlet_temperature_global_range_test,water_temperature,ctd_temperature_global_range_test,pco2_water_temperature_global_range_test,pco2_air_temperature_frozen_test,ctd_temperature,pco2_air_temperature_frozen_test,pco2_temperature_global_range_test,temperature,oxygen_temperature_global_range_test
2018-01-27 07:06:13,16.6922,68.8367,1.0,1,4.196672562986279,4.2804016395488205,13.33878357863775,12.10714285714285,1.0,1,9.009569253139201,1,0.0,1.0,1.0,13.34253360449145,0.0,8.962242192038271,1,1,1,5.2996977802749,4.280422236336395,1,8.825,1,1,-1,4.970655144615985,-1.0,1,4.572882142857145,1
2018-01-27 17:06:41,18.9628,69.6484,1.0,1,4.32595136077138,4.650561487390091,12.37806806056105,12.0142857142857,1.0,1,9.02906191643585,1,-1.0,1.0,1.0,12.369873417725,-1.0,8.84079113923949,1,1,1,5.597907913165265,4.65028468887555,1,9.0,1,1,-1,5.285075855342135,-1.0,1,4.51921428571429,1
2018-01-28 03:07:09,23.0826,70.5507,1.0,1,4.32595136077138,4.819426766356949,12.543861741535,12.0142857142857,1.0,1,9.260838806786856,1,-1.0,1.0,1.0,12.369873417725,-1.0,8.84079113923949,1,1,1,5.73947865353038,4.818905040464459,1,9.0,1,1,-1,5.4357572278911555,-1.0,1,4.51921428571429,1
2018-01-28 13:07:38,25.9686,70.9809,1.0,1,4.32595136077138,4.429302152551109,12.244154590044001,12.0142857142857,1.0,1,8.968484402279476,1,-1.0,1.0,1.0,12.369873417725,-1.0,8.84079113923949,1,1,1,5.40186920652577,4.427069466073415,1,9.0,1,1,-1,5.088220698924729,-1.0,1,4.51921428571429,1
2018-01-28 23:08:06,29.7332,70.6292,0.0,1,4.32595136077138,3.94169970387243,11.478131116340752,12.0142857142857,0.0,1,8.202411744816976,1,-1.0,0.0,0.0,12.369873417725,-1.0,8.84079113923949,1,1,1,4.892272927446875,3.940631223164155,1,9.0,1,1,-1,4.583826643179565,-1.0,1,4.51921428571429,1
2018-01-29 09:08:33,30.0721,69.729,-1.0,1,4.586530975421525,4.2463704305428855,11.3792824716762,12.0142857142857,-1.0,1,8.185627619740176,1,0.0,-1.0,-1.0,11.9571788819771,-1.0,8.699810855068051,1,1,1,5.090441344551155,4.24719371378681,1,9.0,1,1,-1,4.81356388999127,-1.0,1,4.51921428571429,1
2018-01-29 19:09:05,29.7273,70.6301,0.0,1,4.771787815669825,4.666635363940465,11.735227290801099,12.0142857142857,0.0,1,8.586997764680682,1,0.0,0.0,0.0,11.709143882519001,-1.0,8.61421229399799,1,1,1,5.51134376863447,4.666987924865834,1,9.0,1,1,-1,5.23749192009541,-1.0,1,4.51921428571429,1
2018-01-30 05:09:43,25.9261,70.9658,1.0,1,4.54091632763014,4.540916327630136,11.87730068739395,11.85714285714285,1.0,1,8.63620620666135,1,-1.0,1.0,1.0,11.87730068739395,-1.0,8.63620620666135,1,1,1,5.46219315432995,4.541623494194489,1,8.77916666666667,1,1,-1,5.158350405176585,-1.0,1,4.50611547619048,1
2018-01-30 15:10:10,22.3492,70.2376,1.0,1,4.14662188219488,4.146621882194875,11.7022749942522,11.7,1.0,1,8.379543344450521,1,-1.0,1.0,1.0,11.7022749942522,-1.0,8.379543344450521,1,1,1,5.12943361711919,4.146621899447769,1,8.55833333333334,1,1,-1,4.80087598366314,-1.0,1,4.49301666666667,1
2018-01-31 01:10:37,18.6649,69.5517,0.0,1,4.153502949408845,4.15350294940885,11.8073036892161,11.7,0.0,1,8.361970624326245,1,-1.0,0.0,0.0,11.8073036892161,-1.0,8.36197062432624,0,1,1,5.134476069949381,4.153767418315695,1,8.55833333333334,1,1,-1,4.799358766682005,-1.0,1,4.49301666666667,1
