time,longitude,latitude,pco2_air_temperature_global_range_test,pco2_temperature_frozen_test,pco2_temperature_global_range_test,inlet_temperature_frozen_test,ctd_temperature_global_range_test,pco2_temperature_frozen_test,pco2_air_temperature_global_range_test,water_temperature,ctd_temperature,ctd_temperature_frozen_test,oxygen_temperature_global_range_test,pco2_water_temperature_frozen_test,pco2_water_temperature_global_range_test,air_temperature,pco2_air_temperature,inlet_temperature_global_range_test,pco2_water_temperature,oxygen_temperature,pco2_air_temperature_frozen_test,pco2_temperature,pco2_air_temperature,pco2_water_temperature_frozen_test,pco2_water_temperature,temperature,pco2_air_temperature_frozen_test,inlet_temperature,rtqc_temperature_difference_test,oxygen_temperature_frozen_test,pco2_water_temperature_global_range_test,pco2_temperature_global_range_test,pco2_temperature
2018-04-01 14:22:15,10.0023,64.0862,1,1.0,1,1.0,1,1,1,10.7181818181818,5.43429114805282,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,5.740388731839725,-1.0,5.27851649357095,13.2426261230599,-1.0,10.2037756052746,4.98321818181818,-1,4.73570013220258,1,1.0,1,1,4.83957360999363
2018-04-02 00:22:42,12.3127,65.755,1,1.0,1,1.0,1,1,1,10.7181818181818,5.2033805742835355,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,5.52087711966717,-1.0,5.27851649357095,13.1529405828006,-1.0,10.31890535289335,4.98321818181818,-1,4.449659088798494,1,1.0,1,1,4.507662035277855
2018-04-02 10:23:02,13.9786,67.1068,1,0.0,1,1.0,1,1,1,10.7181818181818,4.483162699630465,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,4.831234991752655,-1.0,5.27851649357095,12.481663456831349,-1.0,9.346268510087409,4.98321818181818,-1,3.6683018463820347,1,1.0,1,1,3.633438758191975
2018-04-02 20:23:34,14.5668,68.2305,1,0.0,1,1.0,1,1,1,10.7181818181818,3.677715769441265,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,4.037043509627345,-1.0,5.27851649357095,11.43946314762395,0.0,7.91182776594281,4.98321818181818,-1,2.853713735758,1,1.0,1,1,2.8167817160109854
2018-04-03 06:24:04,16.5492,68.7992,1,1.0,1,1.0,1,1,1,10.7181818181818,3.4998028368005354,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,3.879844198464795,-1.0,5.27851649357095,10.26635960159311,1.0,6.191688364507749,4.98321818181818,-1,2.690009647902995,1,1.0,1,1,2.688958381980115
2018-04-03 16:24:34,18.9628,69.6484,1,1.0,1,1.0,1,1,1,10.7181818181818,3.670425487631105,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,4.033626386974705,-1.0,5.27851649357095,9.459527827950735,0.0,4.824131250339405,4.98321818181818,-1,2.9041055058515752,1,1.0,1,1,2.904620892911815
2018-04-04 02:25:02,22.4052,70.3873,1,1.0,1,1.0,1,1,1,10.7181818181818,3.7309116646073948,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,4.05893519580352,-1.0,5.27851649357095,9.631359746391304,-1.0,4.681955802981955,4.98321818181818,-1,3.0059058937119447,1,1.0,1,1,2.99495959295075
2018-04-04 12:25:32,25.9686,70.9809,1,0.0,1,1.0,1,1,1,10.7181818181818,3.61229164678738,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,3.920203981072305,-1.0,5.27851649357095,9.395777348692295,-1.0,4.502468473349635,4.98321818181818,-1,2.91013381173986,1,1.0,1,1,2.81443106113183
2018-04-04 22:26:03,29.1924,70.8701,1,0.0,1,1.0,1,1,1,10.7181818181818,3.346939410744055,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,3.6658242778892953,-1.0,5.27851649357095,8.987887232875774,0.0,4.14256934481191,4.98321818181818,-1,2.59704096553601,1,1.0,1,1,2.5132864236567247
2018-04-05 08:26:33,30.0868,69.7732,1,1.0,1,1.0,1,1,1,10.7181818181818,3.3674503233326654,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,3.706601888767625,-1.0,5.27851649357095,9.11043381954545,0.0,4.22461991187578,4.98321818181818,-1,2.599963939684165,1,1.0,1,1,2.59972827594952
2018-04-05 18:26:40,29.7272,70.6301,1,0.0,1,1.0,1,1,1,10.7181818181818,3.701752076760865,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,4.005608339314625,-1.0,5.27851649357095,9.19253134276439,-1.0,4.832840123044895,4.98321818181818,-1,2.99841716603515,1,1.0,1,1,3.3355658966270747
2018-04-06 04:27:37,25.7121,70.936,1,-1.0,1,1.0,1,1,1,10.7181818181818,3.772114962922525,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,4.0837530392409604,-1.0,5.27851649357095,9.2,-1.0,5.13153846155458,4.98321818181818,-1,3.030313907465535,1,1.0,1,1,3.73939435899202
2018-04-06 14:28:04,22.3124,70.2824,1,0.0,1,1.0,1,1,1,10.7181818181818,3.704439449228825,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,4.031526351924835,-1.0,5.27851649357095,9.241221122110389,-1.0,4.793585512404025,4.98321818181818,-1,2.926879871551595,1,1.0,1,1,3.241107594787195
2018-04-07 00:28:32,18.5759,69.5392,1,1.0,1,1.0,1,1,1,10.7181818181818,3.839221028902945,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,4.168749065110266,0.0,5.27851649357095,9.64350515967054,0.0,4.738229427168704,4.98321818181818,-1,3.037582025652675,1,1.0,1,1,2.980693126557575
2018-04-07 10:29:00,15.4208,68.6985,1,1.0,1,1.0,1,1,1,10.7181818181818,4.186817155777475,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,4.51515266851948,0.0,5.27851649357095,10.0874688860461,0.0,5.18488890311611,4.98321818181818,-1,3.3958152762730247,1,1.0,1,1,3.34763732944804
